id,department,code,chemicalName,tradeName,quantity,storage,use,hazards,ppe,updatedAt
DTCH-047,LAB,047,Carbol fuchsin (AFB),Carbon fucsin (AFB),3x450 ml,ห้องย้อมสี,ย้อมสี,วัตถุมีพิษ | อันตรายต่อสุขภาพ | อันตรายต่อสิ่งแวดล้อม | วัตถุระคายเคือง,ถุงมือ | หน้ากาก | เสื้อกันสารเคมี,
DTCH-048,ทันตกรรม,048,Cavicide,Cavicide,1x3.785 L,ตู้เก็บของ,,,ถุงมือ | หน้ากาก,
DTCH-049,ผลิต,049,Cetyl alcohol,"P.C. Drug Center Co., Ltd.",2 kg,ห้องเตรียมยาใช้ภายนอก,เตรียม cream base,สารไวไฟ | วัตถุระคายเคือง,ถุงมือ | หน้ากาก,
DTCH-050,ไม่ระบุหน่วยงาน,050,Chlorhexidine 2% in Alcohol 70%,-,,,,สารไวไฟ | วัตถุมีพิษ | แก๊ส | อันตรายต่อสุขภาพ | อันตรายต่อสิ่งแวดล้อม | วัตถุระคายเคือง | ประเภทอื่น ๆ,ถุงมือ | หน้ากาก | แว่นตา,
DTCH-051,ไม่ระบุหน่วยงาน,051,"Chlorhexidine SCRUB 4% / Hibi Scrub 500ml,100ml",CHLORHEXIDINE SCRUB 4%,,,,อันตรายต่อสุขภาพ | วัตถุระคายเคือง,ถุงมือ | หน้ากาก,
DTCH-052,ไตเทียม,052,"citric acid-1- hydrate,lactic acid,malic acid","Citrosteril, Citric-LA",5 L,ห้องเก็บน้ำยา,อบฆ่าเชื้อเครื่องฟอกไต,,,
DTCH-053,LAB,053,Crystal violet (Gram stain),Crystal violet (Gram stain),2 ขวด,ห้องย้อมสี,ย้อมสี,วัตถุมีพิษ | อันตรายต่อสุขภาพ | อันตรายต่อสิ่งแวดล้อม | วัตถุระคายเคือง,ถุงมือ | หน้ากาก | เสื้อกันสารเคมี,
DTCH-054,LAB,054,Decolorized acid alcohol (AFB),Decolorized acid alcohol (AFB),6x450 ml,ห้องย้อมสี,ย้อมสี,วัตถุมีพิษ | อันตรายต่อสุขภาพ | อันตรายต่อสิ่งแวดล้อม | วัตถุระคายเคือง,ถุงมือ | หน้ากาก | เสื้อกันสารเคมี,
DTCH-055,ทันตกรรม,055,Developer (น้ำยาสร้างภาพบนฟิล์ม),Carestream,1ขวด,ตู้เก็บของ,ล้างฟิล์ม,สารกัดกร่อน | อันตรายต่อสุขภาพ | อันตรายต่อสิ่งแวดล้อม | วัตถุระคายเคือง,ถุงมือ | หน้ากาก | แว่นตา | เสื้อกันสารเคมี,
DTCH-056,ทันตกรรม,056,Die Stone Type3,KNAUFปูนเขียว,2 x 2 kg,ตู้เก็บของ,ปูนพิมพ์ปากทำฟันปลอม,อันตรายต่อสิ่งแวดล้อม | วัตถุระคายเคือง,ถุงมือ | หน้ากาก,
DTCH-057,ทันตกรรม,057,Die Stone Type4,ROCKAปูนชมพู,2 x 5 kg,ตู้เก็บของ,ปูนพิมพ์ปากทำฟันปลอม,อันตรายต่อสิ่งแวดล้อม | วัตถุระคายเคือง,ถุงมือ | หน้ากาก,
DTCH-058,ทันตกรรม,058,Disinfectant Wipes,"Caviwipes , Clinic care",36 กระปุก,ตู้เก็บของ,น้ำยาฆ่าเชื้อ,สารไวไฟ | อันตรายต่อสุขภาพ | วัตถุระคายเคือง,ถุงมือ | หน้ากาก | แว่นตา,
DTCH-059,LAB,059,Eosin Y,Eosin Y,1 ขวด,ห้องย้อมสี,ย้อมสี,วัตถุมีพิษ | อันตรายต่อสุขภาพ | อันตรายต่อสิ่งแวดล้อม | วัตถุระคายเคือง,ถุงมือ | หน้ากาก | เสื้อกันสารเคมี,
DTCH-060,OPD,060,Ether sultate,,,,,,,
DTCH-061,ไม่ระบุหน่วยงาน,061,Ethoxylated alcohol (9EO) 3.00%. W/W,WAVE,1×3.8 ลิตร,ห้องเก็บของแม่บ้าน,น้ำยาถูพื้นห้องน้ำ,วัตถุมีพิษ | อันตรายต่อสิ่งแวดล้อม | วัตถุระคายเคือง,ถุงมือ | หน้ากาก | แว่นตา | รองเท้าบูท,
DTCH-062,ห้องยา,062,Ethyl chloride spray,Ethyl chloride spray,3 botts,,,สารไวไฟ | สารกัดกร่อน | แก๊ส | วัตถุระคายเคือง,ถุงมือ | หน้ากาก | แว่นตา,
